task_name,measurement,processed_task_name,cluster,general_name,work_name_corr
Обратная засыпка грунта вручную (с уплотнением),м3,обратная засыпка грунта вручную уплотнением,269,обратная засыпка грунта бульдозером экскаватором, Обратная засыпка грунта вручную ас уплотнением)
"Монтаж м/к мачт-молниеотводов, прожекторных мачт",шт,монтаж мк мачтмолниеотводов прожекторных мачт,131,мачтмолниеотводов прожекторных мачт мк монтаж," Монтаж мак мачт-молниеотводов, прожекторных матч"
Укладка трубопроводов Д мм 720-1020,км,укладка трубопроводов д мм,43,укладка трубопроводов мм колодцев конструкций, Укладка трубопроводов я мы 720-1020
Магнитопорошковый контроль стыков Д мм <57,стык,магнитопорошковый контроль стыков д мм,24,магнитопорошковый контроль стыков мм эхз, Магнитопорошковый контроль стыков я мы <57
Монтаж ЗРА трубопровода системы вентиляции,шт,монтаж зра трубопровода системы вентиляции,73,вентиляции системы монтаж трубопровода аварийной, Монтаж за трубопровода системы вентиляции
Прокладка кабеля электрической сети в траншее (массой 1 м до 9 кг),м,прокладка кабеля электрической сети траншее массой м кг,59,траншее сети кг кабеля прокладка, Прокладка кабель электрический сети я траншее (массой 1 я до 9 кг)
Балластировка трубопроводов устройствами типа ПКБУ-МК Д мм 720-1020,шт,балластировка трубопроводов устройствами типа пкбумк д мм,37,балластировка устройствами типа трубопроводов мм, Балластировка трубопроводов устройствами типа ПКБУ-МК я мы 720-1020
Теплоизоляция трубопроводов матами и плитами минераловатными,м3,теплоизоляция трубопроводов матами плитами минераловатными,165,минераловатными матами теплоизоляция зра плитами, Теплоизоляция трубопроводов майами и плитами минераловатными
Капиллярный контроль стыков трубопроводов Д мм 57-89,стык,капиллярный контроль стыков трубопроводов д мм,23,капиллярный контроль стыков трубопроводов мм, Капиллярный контроль стыков трубопроводов я мы 57-89
Демонтаж водопропуска из круглой гладкостенной трубы,м,демонтаж водопропуска круглой гладкостенной трубы,139,водопропуска гладкостенной круглой трубы устройство, Демонтаж водопропуска из круглый гладкостенной трубы
Гидравлическое испытание трубопроводов инженерных сетей Д мм 57-89,км,гидравлическое испытание трубопроводов инженерных сетей д мм,3,гидравлическое инженерных испытание сетей трубопроводов, Гидравлическое испытание трубопроводов инженерный детей я мы 57-89
Теплоизоляция трубопроводов сегментами,м3,теплоизоляция трубопроводов сегментами,166,теплоизоляция сегментами полуцилиндрами цилиндрами трубопроводов, Теплоизоляция трубопроводов сегментами
Вырезка стыков трубопроводов Д мм до 720-1020,стык,вырезка стыков трубопроводов д мм,25,вырезка стыков трубопроводов мм коробок, Вырезка стыков трубопроводов я мы до 720-1020
Демонтаж импульсных линий,м,демонтаж импульсных линий,115,импульсных линий монтаж демонтаж трубопроводов, Демонтаж импульсных синий
Обварка м/к эстакад после их монтажа,т,обварка мк эстакад монтажа,133,эстакад мк четырехвосьмиярусных обварка высотой, Обварка мак эстакад после их монтаж
Монтаж изоляторов напряжением до 10 кВ,шт,монтаж изоляторов напряжением кв,110,изоляторов напряжением кв демонтаж монтаж, Монтаж изоляторов напряжение до 10 ко
Монтаж ЗРА внутренних ИС Д мм <57,шт,монтаж зра внутренних ис д мм,64,внутренних зра ис монтаж мм, Монтаж за внутренних и я мы <57
Демонтаж керамогранита (полы),м2,демонтаж керамогранита полы,227,полы демонтаж керамогранита ламината линолеума, Демонтаж керамогранита (полы)
Сборка и сварка труб и узлов на ПМУ Д мм 720-1020,стык,сборка сварка труб узлов пму д мм,179,узлов пму труб сборка сварка, уборка и свалка труп и узлов на ему я мы 720-1020
Лесовосстановление,га,лесовосстановление,254,водоотлив лесовосстановление металлорукава посев обоями, Лесовосстановление
Демонтаж ТТ Д 219-325,м,демонтаж тт д,71,тт демонтаж эхз конструкций коробок, Демонтаж ты я 219-325
Монтаж ТТ Д 377-630,м,монтаж тт д,70,тт монтаж эхз конструкций коробок, Монтаж ты я 377-630
Трубопровод суфлирования маслобака двигателя,компл,трубопровод суфлирования маслобака двигателя,248,двигателя маслобака суфлирования вала трубопровод, Трубопровод суфлирования маслобака двигателя
Предварительное гидравлическое испытание трубопроводов Д мм <57,км,предварительное гидравлическое испытание трубопроводов д мм,1,предварительное гидравлическое испытание трубопроводов мм, Предварительное гидравлическое испытание трубопроводов я мы <57
Вырезка стыков трубопроводов Д мм до 377-630,стык,вырезка стыков трубопроводов д мм,25,вырезка стыков трубопроводов мм коробок, Вырезка стыков трубопроводов я мы до 377-630
Монтаж площадок обслуживания ГПА. Этап 2,компл,монтаж площадок обслуживания гпа этап,98,площадок обслуживания гпа монтаж этап, Монтаж площадок обслуживание ГПА. Этап 2
Монтаж системы подвода воздуха в отсек вспомогательного оборудования,компл,монтаж системы подвода воздуха отсек вспомогательного оборудования,82,воздуха системы подвода монтаж отвода, Монтаж системы подвода воздуха я отсек вспомогательного оборудование
Изоляция ТУМ стыков трубопроводов Д 720-1020,стык,изоляция тум стыков трубопроводов д,19,изоляция тум стыков трубопроводов эхз, Изоляция там стыков трубопроводов я 720-1020
Монтаж металлического ограждения типа Махаон,м,монтаж металлического ограждения типа махаон,106,металлического махаон ограждения типа монтаж, Монтаж металлического ограждения типа Махаон
Устройство основания из бурозабивных металлических свай,м3,устройство основания бурозабивных металлических свай,273,металлических свай основания устройство буроопускных, Устройство основания из бурозабивных металлический свай
Установка блока электроснабжения,компл,установка блока электроснабжения,74,блока установка сборка электроснабжения промежуточного, Установка блок электроснабжения
Монтаж станции электродренажной защиты (СДЗ),шт,монтаж станции электродренажной защиты сдз,195,электродренажной сдз станции защиты демонтаж, Монтаж станции электродренажной защиты (СДЗ)
Трубопровод разделительного воздуха,компл,трубопровод разделительного воздуха,239,трубопровод сброса воздуха разделительного свечу, Трубопровод разделительного воздуха
Разработка с погрузкой грунта в карьере,м3,разработка погрузкой грунта карьере,96,разработка грунта скального бульдозером экскаватором, Разработка я погрузкой грунта я карьера
Ручная сварка на трассе трубопроводов Д мм 377-630,стык,ручная сварка трассе трубопроводов д мм,28,ручная трассе сварка трубопроводов мм, Ручная свалка на трассе трубопроводов я мы 377-630
Монтаж водоотводных лотков,т,монтаж водоотводных лотков,120,лотков железобетонных монтаж перекрытий водоотводных, Монтаж водоотводных лотков
"Демонтаж элементов кровли (водосточная система, системы снегозадержания)",м,демонтаж элементов кровли водосточная система системы снегозадержания,146,водосточная снегозадержания система кровли элементов, Демонтаж элементов крови (водосточная система системы снегозадержания)
Демонтаж теплоизоляции оборудования,м3,демонтаж теплоизоляции оборудования,187,теплоизоляции демонтаж трубопроводов пенополиуретан сталью, Демонтаж теплоизоляции оборудование
Предварительное гидравлическое испытание трубопроводов Д мм 377-630,км,предварительное гидравлическое испытание трубопроводов д мм,1,предварительное гидравлическое испытание трубопроводов мм, Предварительное гидравлическое испытание трубопроводов я мы 377-630
Демонтаж электродов сравнения,шт,демонтаж электродов сравнения,216,сравнения электродов установка демонтаж эхз, Демонтаж электродов сравнение
Сборка и сварка на ТСБ двухтрубных секций Д мм 720-1020,км,сборка сварка тсб двухтрубных секций д мм,97,двухтрубных секций тсб сборка сварка, уборка и свалка на ТСБ двухтрубных секция я мы 720-1020
Балластировка трубопроводов устройствами типа УТК Д мм 377-630,шт,балластировка трубопроводов устройствами типа утк д мм,37,балластировка устройствами типа трубопроводов мм, Балластировка трубопроводов устройствами типа утка я мы 377-630
Монтаж системы маслообеспечения ГТУ,компл,монтаж системы маслообеспечения гту,78,маслообеспечения системы гту компрессора монтаж, Монтаж системы маслообеспечения эту
Изоляция ТУМ стыков трубопроводов Д <57,стык,изоляция тум стыков трубопроводов д,19,изоляция тум стыков трубопроводов эхз, Изоляция там стыков трубопроводов я <57
Устройство гидроизоляции из полиэтиленовой пленки,м2,устройство гидроизоляции полиэтиленовой пленки,148,гидроизоляции оклеечной устройство обмазочной пленки, Устройство гидроизоляции из полиэтиленовой пленка
Комплекс работ по расширению общежития блочно-модульного типа,к.м.,комплекс работ расширению общежития блочномодульного типа,182,общежития блочномодульного работ комплекс типа, Комплекс работа по расширение общежитие блочно-модульного типа
Разборка: конструкции монолитные железобетонные,м3,разборка конструкции монолитные железобетонные,172,конструкции монолитные бетонные железобетонные разборка, Разборка: конструкции монолитные железобетонные
Устройство основания из забивных железобетонных свай,шт,устройство основания забивных железобетонных свай,274,свай железобетонных основания устройство буронабивных, Устройство основания из забивных железобетонных свай
Устройство ввода кабеля в здание,шт,устройство ввода кабеля здание,154,устройство газонов стяжки отмостки бетонной, Устройство вода кабель я здание
Обратная засыпка траншеи под трубопровод Д 1220-1420,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной, Обратная засыпка траншеи под трубопровод я 1220-1420
Транспортировка ОПИ и сыпучих материалов,т,транспортировка опи сыпучих материалов,173,опи сыпучих материалов транспортировка конструкций, Транспортировка они и сыпучих материалов
Ручная сварка стального трубопровода наружных ИС Д мм 219-325,м,ручная сварка стального трубопровода наружных ис д мм,62,стального ручная наружных трубопровода ис, Ручная свалка стального трубопровода наружных и я мы 219-325
Теплоизоляция ЗРА Д >200 из пенополиуретана методом напыления,м3,теплоизоляция зра д пенополиуретана методом напыления,164,напыления пенополиуретана теплоизоляция методом зра, Теплоизоляция за я >200 из пенополиуретана методом напыления
Рыхление грунта шпуровыми зарядами,м3,рыхление грунта шпуровыми зарядами,92,рыхление грунта зарядами гидромолотом бульдозером, Рыхление грунта шпуровыми зарядами
Балластировка трубопроводов устройствами типа ПТБК Д мм 377-630,шт,балластировка трубопроводов устройствами типа птбк д мм,37,балластировка устройствами типа трубопроводов мм, Балластировка трубопроводов устройствами типа ПТБК я мы 377-630
Отсоединение трубных проводок от приборов,шт,отсоединение трубных проводок приборов,242,проводок трубных отсоединение приборам присоединение, Отсоединение трубных проводок от приборов
Обварка м/к каркасов зданий и сооружений после их монтажа,т,обварка мк каркасов зданий сооружений монтажа,130,сооружений зданий мк каркасов строений, Обварка мак каркасов здание и сооружений после их монтаж
"""Укладка матрацев """"Рено""""""",м2,укладка матрацев рено,206,рено матрацев укладка демонтаж эхз," ""Укладка матрацев """"Рено"""""""
Демонтаж ЗРА наружных инженерных сетей Д мм 57-89,шт,демонтаж зра наружных инженерных сетей д мм,281,инженерных наружных сетей демонтаж мм, Демонтаж за наружных инженерный детей я мы 57-89
Монтаж блока электротехнического АВО газа,компл,монтаж блока электротехнического аво газа,75,блока электротехнического авгм монтаж аво, Монтаж блок электротехнического во газа
Магнитопорошковый контроль стыков Д мм 377-630,стык,магнитопорошковый контроль стыков д мм,24,магнитопорошковый контроль стыков мм эхз, Магнитопорошковый контроль стыков я мы 377-630
Футеровка трубопроводов футеровочными рейками Д мм 1220-1420,км,футеровка трубопроводов футеровочными рейками д мм,49,рейками футеровочными футеровка трубопроводов мм, Футеровка трубопроводов футеровочными рейками я мы 1220-1420
Устройство покрытия из цементно-песчаной смеси,м2,устройство покрытия цементнопесчаной смеси,136,смеси покрытия асфальтобетонной устройство песчаногравийной, Устройство покрытия из цементно-песчаной смесь
Устройство фальшпола,м2,устройство фальшпола,151,фальшпола устройство демонтаж эхз конструктивных, Устройство фальшпола
Монтаж сборного полимерного трубопровода наружных ИС Д мм <57,м,монтаж сборного полимерного трубопровода наружных ис д мм,66,сборного полимерного трубопровода ис монтаж, Монтаж сборного полимерного трубопровода наружных и я мы <57
"""Устройство подвесного потолка тапа """"Армстронг""""""",м2,устройство подвесного потолка тапа армстронг,264,армстронг подвесного потолка тапа типа," устройство подвесного потолка папа """"Армстронг"""""""
Строительство переходов открытым способом Д мм 1220-1420,км,строительство переходов открытым способом д мм,31,открытым способом переходов строительство мм, Строительство переходов открытым способом я мы 1220-1420
Демонтаж оборудования сетей СПБА,шт,демонтаж оборудования сетей спба,277,оборудования сетей демонтаж монтаж оэ, Демонтаж оборудование детей СПБА
АУЗК сварных соединений трубопроводов Д мм 720-1020,стык,аузк сварных соединений трубопроводов д мм,16,аузк соединений сварных трубопроводов мм, АУЗК сварных соединение трубопроводов я мы 720-1020
Устройство бетонной подготовки,м3,устройство бетонной подготовки,154,устройство газонов стяжки отмостки бетонной, Устройство бетонной подготовки
Калибровка трубопроводов Д мм 1220-1420,км,калибровка трубопроводов д мм,53,калибровка трубопроводов мм эхз коробчатых, Калибровка трубопроводов я мы 1220-1420
Демонтаж футеровки из футеровочных реек трубопроводов Д мм 219-325,км,демонтаж футеровки футеровочных реек трубопроводов д мм,52,реек футеровки футеровочных демонтаж трубопроводов, Демонтаж футеровки из футеровочных реке трубопроводов я мы 219-325
Монтаж системы обеспечения барьерным воздухом,компл,монтаж системы обеспечения барьерным воздухом,87,обеспечения барьерным системы воздухом монтаж, Монтаж системы обеспечение барьерным воздухом
Установка и сборка блока компрессора,компл,установка сборка блока компрессора,74,блока установка сборка электроснабжения промежуточного, Установка и уборка блок компрессора
Монтаж вставки электроизолирующей на трубопроводе Д мм <57,шт,монтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж, Монтаж ставки электроизолирующей на трубопроводе я мы <57
Очистка внутренней полости трубопроводов водой Д мм 720-1020,км,очистка внутренней полости трубопроводов водой д мм,10,водой очистка внутренней полости трубопроводов, Очистка внутренний полости трубопроводов водой я мы 720-1020
Монтаж системы суфлирования (ГТУ и компрессора),компл,монтаж системы суфлирования гту компрессора,77,суфлирования гту компрессора системы монтаж, Монтаж системы суфлирования (ГТУ и компрессора)
"""Демонтаж подвесного потолка типа """"Армстронг""""""",м2,демонтаж подвесного потолка типа армстронг,264,армстронг подвесного потолка тапа типа," ""Демонтаж подвесного потолка типа """"Армстронг"""""""
"Прокладка кабеля слаботочной сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 3 кг)",м,прокладка кабеля слаботочной сети конструкциям трубах блоках коробах массой м кг,56,коробах конструкциям блоках трубах сети," Прокладка кабель слаботочной сети по конструкциям, я трубах, блоках и коробах (массой 1 я до 3 кг)"
Подливка закладных деталей и анкеров,м3,подливка закладных деталей анкеров,246,деталей закладных анкеров подливка анкерных, Подливка закладных деталей и анкеров
Монтаж блока АВГМ,компл,монтаж блока авгм,75,блока электротехнического авгм монтаж аво, Монтаж блок АВГМ
Монтаж системы приточной вентиляции,компл,монтаж системы приточной вентиляции,73,вентиляции системы монтаж трубопровода аварийной, Монтаж системы приточной вентиляции
Армирование монолитных железобетонных конструкций,т,армирование монолитных железобетонных конструкций,261,армирование монолитных участков бетона конструкций, Армирование монолитных железобетонных конструкций
Строительство переходов методом продавливания Д мм 720-1020,км,строительство переходов методом продавливания д мм,35,продавливания переходов строительство методом мм, Строительство переходов методом продавливания я мы 720-1020
Устройство трубы водопропускной железобетонной,м,устройство трубы водопропускной железобетонной,140,водопропускной трубы гофрированного металла железобетонной, Устройство трубы водопропускной железобетонной
Демонтаж облицовки поверхностей из ГКЛ,м2,демонтаж облицовки поверхностей гкл,265,поверхностей окраска гкл внутренних облицовка, Демонтаж облицовки поверхностей из гол
Присыпка трубопровода Д 108-168 привозным грунтом,км,присыпка трубопровода д привозным грунтом,91,присыпка грунтом привозным трубопровода конструкциям, Присыпка трубопровода я 108-168 привозным грунтом
Контроль качества изоляции трубопроводов методом катодной поляризации Д мм 1220-1420,км,контроль качества изоляции трубопроводов методом катодной поляризации д мм,20,поляризации катодной изоляции качества методом, Контроль качества изоляция трубопроводов методом катодной поляризации я мы 1220-1420
Монтаж системы выхлопа,компл,монтаж системы выхлопа,89,выхлопа системы монтаж эхз конструкции, Монтаж системы выхлопа
Монтаж системы вытяжной вентиляции,компл,монтаж системы вытяжной вентиляции,73,вентиляции системы монтаж трубопровода аварийной, Монтаж системы вытяжной вентиляции
Бетонирование фундаментов общего назначения,м3,бетонирование фундаментов общего назначения,262,бетонирование фундаментов перекрытия полов оборудование, Бетонирование фундаментов общего назначения
Осушка внутренней полости трубопроводов Д мм 377-630,км,осушка внутренней полости трубопроводов д мм,7,осушка внутренней полости технологических трубопроводов, Осушка внутренний полости трубопроводов я мы 377-630
Транспортировка воды,т/км,транспортировка воды,175,воды транспортировка подъем разных предметов, Транспортировка воды
Разборка: конструкции монолитные бетонные,м3,разборка конструкции монолитные бетонные,172,конструкции монолитные бетонные железобетонные разборка, Разборка: конструкции монолитные бетонные
Статическое испытание грунтов сваями,шт,статическое испытание грунтов сваями,93,грунтов скальных рыхление водой сваями, Статическое испытание грунтов сваями
Калибровка трубопроводов Д мм 377-630,км,калибровка трубопроводов д мм,53,калибровка трубопроводов мм эхз коробчатых, Калибровка трубопроводов я мы 377-630
Автоматическая сварка на трассе комплексами типа Vermaat трубопроводов мм 1220-1420,км,автоматическая сварка трассе комплексами типа vermaat трубопроводов мм,30,комплексами автоматическая трассе типа сварка, Автоматическая свалка на трассе комплексами типа Vermaat трубопроводов мы 1220-1420
Монтаж элементов системы вентиляции,шт,монтаж элементов системы вентиляции,73,вентиляции системы монтаж трубопровода аварийной, Монтаж элементов системы вентиляции
Осушка внутренней полости трубопроводов Д мм 219-325,км,осушка внутренней полости трубопроводов д мм,7,осушка внутренней полости технологических трубопроводов, Осушка внутренний полости трубопроводов я мы 219-325
Монтаж блока РВО. Этап 1,компл,монтаж блока рво этап,76,блока этап гту монтаж рво, Монтаж блок РВО. Этап 1
Монтаж ЦБН (компрессора). Этап 2,компл,монтаж цбн компрессора этап,79,цбн этап компрессора монтаж конструкции, Монтаж убн (компрессора). Этап 2
Обратная засыпка скального грунта экскаватором,м3,обратная засыпка скального грунта экскаватором,269,обратная засыпка грунта бульдозером экскаватором, Обратная засыпка скального грунта экскаватором
Ручная сварка на трассе трубопроводов Д мм 377-630,км,ручная сварка трассе трубопроводов д мм,28,ручная трассе сварка трубопроводов мм, Ручная свалка на трассе трубопроводов я мы 377-630
Монтаж изоляции ПОС,компл,монтаж изоляции пос,238,пос изоляции трубопровод монтаж эхз, Монтаж изоляция по
Монтаж кровельного покрытия (профлист),м2,монтаж кровельного покрытия профлист,135,кровельного покрытия профлист сэндвичпанели демонтаж, Монтаж кровельного покрытия (профлист)
Устройство основания из железобетонных буронабивных свай,м3,устройство основания железобетонных буронабивных свай,274,свай железобетонных основания устройство буронабивных, Устройство основания из железобетонных буронабивных свай
Расчистка от лесорастительности при строительстве трубопроводов Д мм 1220-1420,км,расчистка лесорастительности строительстве трубопроводов д мм,48,лесорастительности расчистка строительстве трубопроводов мм, Расчистка от лесорастительности при строительство трубопроводов я мы 1220-1420
Предварительное пневматическое испытание трубопроводов Д мм 720-1020,км,предварительное пневматическое испытание трубопроводов д мм,4,предварительное пневматическое испытание трубопроводов мм, Предварительное пневматическое испытание трубопроводов я мы 720-1020
ВТД трубопроводов снарядами-дефектоскопами Д мм 720-1020,км,втд трубопроводов снарядамидефектоскопами д мм,54,втд роботамидефектоскопами снарядамидефектоскопами трубопроводов мм, вид трубопроводов снарядами-дефектоскопами я мы 720-1020
Устройство основания под трубопровод Д 377-630,км,устройство основания трубопровод д,271,основания трубопровод устройство эхз конструкций, Устройство основания под трубопровод я 377-630
Установка отопительных приборов,шт,установка отопительных приборов,241,отопительных приборов установка демонтаж эхз, Установка отопительных приборов
Демонтаж вставки электроизолирующей на трубопроводе Д мм 108-168,шт,демонтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж, Демонтаж ставки электроизолирующей на трубопроводе я мы 108-168
Футеровка трубопроводов футеровочными рейками Д мм 219-325,км,футеровка трубопроводов футеровочными рейками д мм,49,рейками футеровочными футеровка трубопроводов мм, Футеровка трубопроводов футеровочными рейками я мы 219-325
Снятие лакокрасочного покрытия вручную,м2,снятие лакокрасочного покрытия вручную,251,снятие обоев лакокрасочного вручную покрытия, Снятие лакокрасочного покрытия вручную
Монтаж индивидуального укрытия,компл,монтаж индивидуального укрытия,250,монтаж компрессора заземляющих индивидуального противопожарного, Монтаж индивидуального укрытие
Монтаж системы подвода воздуха к вентиляторам,компл,монтаж системы подвода воздуха вентиляторам,82,воздуха системы подвода монтаж отвода, Монтаж системы подвода воздуха я вентиляторам
Прокладка кабеля слаботочной сети по эстакадам (массой 1 м до 9 кг),м,прокладка кабеля слаботочной сети эстакадам массой м кг,60,слаботочной эстакадам сети кг кабеля, Прокладка кабель слаботочной сети по эстакадам (массой 1 я до 9 кг)
Покрытие сталью теплоизоляции трубопроводов,м2,покрытие сталью теплоизоляции трубопроводов,187,теплоизоляции демонтаж трубопроводов пенополиуретан сталью, сокрытие статью теплоизоляции трубопроводов
Промывка трубопроводов ИС с дезинфекцией,м3,промывка трубопроводов ис дезинфекцией,189,промывка ис дезинфекцией дезинфекции трубопроводов, Промывка трубопроводов и я дезинфекцией
Сборка и сварка на ТСБ двухтрубных секций Д мм 1220-1420,км,сборка сварка тсб двухтрубных секций д мм,97,двухтрубных секций тсб сборка сварка, уборка и свалка на ТСБ двухтрубных секция я мы 1220-1420
Монтаж оборудования сетей СКС,шт,монтаж оборудования сетей скс,277,оборудования сетей демонтаж монтаж оэ, Монтаж оборудование детей секс
Сварка ТТ Д <57 на эстакадах высотой свыше 25 м,стык,сварка тт д эстакадах высотой свыше м,68,эстакадах высотой свыше тт сварка, свалка ты я <57 на эстакадах высотой свыше 25 я
Изготовление и монтаж оголовков свай,шт,изготовление монтаж оголовков свай,272,изготовление свай армокаркаса оголовков металлических, Изготовление и монтаж оголовков свай
Бетонирование отдельных конструкций в мелкощитовой опалубке,м3,бетонирование отдельных конструкций мелкощитовой опалубке,262,бетонирование фундаментов перекрытия полов оборудование, Бетонирование отдельные конструкций я мелкощитовой опалубке
Демонтаж ТТ Д 1220-1420,м,демонтаж тт д,71,тт демонтаж эхз конструкций коробок, Демонтаж ты я 1220-1420
ВТД трубопроводов роботами-дефектоскопами Д мм 1220-1420,км,втд трубопроводов роботамидефектоскопами д мм,54,втд роботамидефектоскопами снарядамидефектоскопами трубопроводов мм, вид трубопроводов роботами-дефектоскопами я мы 1220-1420
Теплоизоляция емкостей,м3,теплоизоляция емкостей,186,емкостей теплоизоляции теплоизоляция демонтаж эхз, Теплоизоляция емкостей
Азотирование трубопроводов Д мм 720-1020,км,азотирование трубопроводов д мм,44,азотирование трубопроводов мм кпв коробок, Азотирование трубопроводов я мы 720-1020
Устройство основания под трубопровод Д 108-168,км,устройство основания трубопровод д,271,основания трубопровод устройство эхз конструкций, Устройство основания под трубопровод я 108-168
Демонтаж трубопроводов внутренних инженерных сетей Д мм 108-168,м,демонтаж трубопроводов внутренних инженерных сетей д мм,280,инженерных внутренних сетей демонтаж зра, Демонтаж трубопроводов внутренних инженерный детей я мы 108-168
